A_id,B_id
610,1129
4185,4515
4749,4515
260,4515
2063,5277
4303,4515
2217,4515
4707,4515
4463,4515
368,3926
608,2375
3322,4515
3273,4515
1038,3183
4011,4515
3652,4515
1519,1279
1897,63
1148,3557
3021,2257
3183,4515
3158,4515
1034,4669
2767,4515
1790,4515
592,4101
2237,232
756,4515
3923,4515
822,4515
176,2418
2128,4515
861,4515
134,4515
2100,4515
926,4965
3061,4515
3828,3497
2500,1092
441,4515
2365,4092
4073,4515
3938,4515
766,4473
4539,4515
1171,4515
2286,4423
777,4515
3085,3332
1514,743
3000,4515
1782,4515
1896,4515
1940,4515
276,4515
408,4515
2557,4515
3385,4515
1245,1584
4386,4515
1826,4515
526,4515
1832,726
4068,5296
113,4515
1470,4515
2284,4515
4076,4515
2286,4515
1082,4515
2288,5247
3161,1048
873,4515
2324,4515
108,4515
1794,2213
3967,4515
637,1903
1459,4515
866,4515
4647,2019
3307,2216
100,2183
4475,4515
4086,4515
2286,4667
1709,10
3191,1203
4070,4515
2963,4515
1829,4515
2282,4515
3779,561
1330,4515
1856,4515
3330,4515
642,4515
3944,4515
2546,3761
917,1348
332,4515
1054,4515
2655,4515
1939,1571
3286,4515
1912,4515
817,4515
3053,4515
761,4515
4722,4515
1101,4515
2630,4515
2447,4936
4069,4515
3673,4515
1417,4850
3066,4515
879,4515
1427,5237
397,4515
2383,4515
423,4515
1831,3956
3401,4515
313,4515
2052,4515
1942,4493
1006,2837
2132,4515
3901,4515
1226,4031
1672,4959
4137,4515
4455,4515
1132,4515
732,212
1670,4515
4695,4515
2140,4515
3357,4515
3580,4515
462,4515
460,4515
4118,4515
155,4515
3724,4515
1019,4515
2453,4515
1198,4515
4188,4515
4591,4515
2790,4515
3863,4515
3256,4515
4006,4515
2133,4515
393,4515
2260,4406
3023,4515
4556,4515
976,4515
2064,4515
88,4515
2057,3343
4150,4515
2668,4378
68,4515
1440,4515
4396,4515
100,2742
1368,127
1230,4515
3518,3709
3455,4515
3707,1436
3248,4515
2340,4515
1,1400
1045,4515
2686,4515
2713,4515
2529,4515
4052,5076
479,1639
307,2372
4180,4515
4058,4515
3189,4515
2830,4515
538,4515
4020,4515
899,4515
1493,5401
2434,4515
3348,4515
2996,4515
1600,4515
4728,4515
980,4515
1124,4515
2157,4515
3650,4515
1609,2012
657,4515
4231,4515
2604,3914
2163,4515
2502,4515
100,1079
3961,3463
1840,4515
2777,4515
2022,4515
2174,4515
1614,4515
2190,4515
3782,2555
1564,4515
0,975
2346,2294
2559,4515
1880,4515
1308,4515
2470,4515
2114,4515
722,4515
188,4515
1714,864
2990,4515
1823,4515
3471,4515
1683,4515
3626,299
1064,3685
3486,4515
3143,4515
268,4515
1690,786
2577,4515
487,4515
1708,3622
1561,1644
2368,4515
1501,4515
1152,4685
2194,3988
3942,4515
1084,4303
1975,4515
1567,4515
1922,5205
3338,4515
2269,4515
3906,4515
3920,4627
1977,4515
3184,1160
2783,4515
3138,4515
478,4515
1327,4515
3677,4515
1363,4515
2895,4320
410,4515
1382,4515
3451,4515
852,4515
1186,94
4367,4515
3589,4515
2070,3922
2177,4515
3477,4515
2000,870
1965,4659
1983,4515
1990,4515
1905,197
818,4515
2081,4515
2910,4515
2903,4515
2493,4515
1965,4515
1725,4362
779,4515
1278,4515
1301,2462
1668,4515
672,4515
2070,4469
2047,2658
2562,4515
412,4110
2227,1947
1514,4515
4704,4515
1254,4712
1845,4515
2373,4515
1835,4515
2814,4515
1396,4515
892,4515
414,4515
2420,4896
1661,4515
1614,1004
1453,4515
1055,4515
4741,4515
1876,4515
1482,4515
4368,4515
4016,4515
257,4515
1791,4458
2856,4515
297,2459
1519,4667
68,2416
3811,4515
1046,2816
931,4850
1529,3845
3482,4515
185,4515
3098,4515
4637,4515
1412,3817
1204,4515
1971,4644
3324,4515
2511,4515
464,4515
648,4515
3801,4515
2225,1059
1593,2876
3740,4515
1099,3883
2314,2425
1664,4850
1593,2338
2581,4515
1169,4515
2709,4515
3554,4515
2935,4515
2973,4515
3499,4515
1172,4515
2699,4515
609,4515
4640,4515
1530,4515
381,4515
2272,4515
532,4515
687,4515
2210,4515
776,4212
1141,4515
4431,4515
1374,4092
4099,4515
1033,4515
3422,4515
975,4515
3048,4515
1400,4587
2294,4515
3126,4515
1886,4070
1889,4515
1725,3845
3479,3032
1935,2860
372,4515
2458,4515
1833,4083
607,4515
1118,4515
736,1020
3779,5116
1430,4515
3636,2040
135,905
3491,4515
1200,3627
3399,4515
1638,3782
2866,4294
2268,4515
1353,3558
4395,4515
1820,4515
1832,4515
4701,4515
1343,4515
4018,2968
2613,4515
4685,4515
1483,1729
3260,5098
2316,4515
1793,4165
4631,4515
3899,4515
1358,4515
3779,4819
1233,4211
4267,4515
114,4515
1862,4515
2873,4515
4726,4515
2031,1366
3696,4515
2815,4515
1646,4515
578,4515
3909,4515
4486,4515
4502,4515
2575,4515
1108,1000
3260,4515
1928,4515
3983,5133
3331,4515
1394,72
3559,4515
3932,4515
67,4515
2391,4400
1616,4515
2569,1407
3257,4515
3838,4515
1266,4515
741,4515
3365,4515
3093,4515
3682,2638
305,4515
2105,4515
2752,4515
1929,4515
3015,4515
1982,4515
3878,4515
1999,4043
1922,4515
1170,2552
1604,4515
1712,4515
4648,4515
1505,4515
2521,4515
4665,4515
1070,4515
1978,2702
2793,4515
1777,4515
1148,4031
2877,4515
696,4515
334,4515
1735,4515
3070,4515
3721,4515
