id,A_id,B_id
677,2463,4077
678,2083,836
679,1922,5205
680,1080,3883
681,1064,3685
682,1173,2593
683,1725,4850
684,2471,4515
685,2088,1049
686,1154,1059
687,341,5369
688,2998,133
689,2231,4515
690,383,4515
691,2235,4515
692,896,4428
693,1831,4623
694,2145,4428
695,4647,2019
696,1529,4862
697,983,5297
698,3836,3914
699,2286,4423
700,2638,4515
701,2341,2540
702,935,196
703,931,4092
704,3636,2040
705,1699,3761
706,3817,1338
707,1785,2704
708,1220,4266
709,262,4515
710,1170,2554
711,3938,3875
712,150,4515
713,478,4515
714,1923,4515
715,3191,1203
716,3764,1796
717,2421,4515
718,3793,662
719,1419,4141
720,1433,3845
721,3961,3463
722,1898,229
723,176,2416
725,1481,4685
726,705,4182
727,953,98
728,1018,4043
729,1743,4757
730,3960,2019
731,1279,2702
732,64,1414
733,30,636
734,631,3160
735,1837,4587
737,409,4515
738,1952,4789
739,2230,2844
740,3861,5334
741,2323,4644
742,2140,4480
743,2044,2220
744,2207,4903
745,935,4092
746,1277,3845
747,2062,136
748,1400,4711
749,223,5269
750,1277,3865
751,2970,4515
752,1709,3959
753,1038,4678
754,3117,5302
755,497,4515
756,2323,3597
757,235,4515
758,768,3851
759,1978,2702
761,3593,1555
762,2323,3758
763,1837,4406
764,1832,2474
765,3903,1779
766,1621,3541
767,1345,1004
768,3295,5099
770,3815,487
771,956,4515
772,1400,4406
773,3129,4515
774,1028,4957
775,2605,1439
776,626,1285
779,607,4515
780,3880,1327
781,1148,4383
782,878,4515
784,3959,34
785,2391,3654
786,1476,4406
787,1668,4221
788,766,4473
789,1899,4515
790,3716,1851
791,173,4515
792,1547,2943
793,1154,3028
794,3936,4876
795,1036,3501
796,1529,4646
797,2741,4515
798,685,495
799,3116,4515
800,410,4515
801,619,4515
802,2664,4957
803,1704,1194
804,1593,647
805,3601,142
806,2112,5419
807,1850,3434
808,2632,4658
809,2304,2013
810,4175,4515
811,2797,4944
812,2500,1962
813,1316,2589
814,1208,3312
815,478,2516
816,205,189
817,3295,4515
818,1672,31
819,3971,4381
820,866,703
821,1725,4362
822,1699,4600
823,297,2775
824,1299,4171
825,2371,4815
826,229,5168
827,1593,2012
828,1903,3290
829,2585,922
830,68,2418
831,1993,4525
832,1236,3589
833,995,1004
834,1794,2213
835,1792,567
836,1419,3925
837,1609,2012
838,3878,1010
839,2173,4518
840,1214,4111
841,1688,1366
842,1226,3557
844,2125,1841
845,1412,3817
846,1638,4288
847,3722,4453
848,3992,3975
849,1573,3656
850,1394,1200
851,2257,1722
852,657,4515
853,1600,3622
854,1099,3883
855,1246,4812
856,2227,1946
857,1394,1870
858,2183,2115
861,1419,4424
862,1170,2544
863,354,4515
864,434,4768
865,3699,1136
866,4042,4515
867,2123,483
868,437,4515
869,1593,72
870,1833,4083
871,4107,4515
873,1354,4383
874,176,2418
875,2507,4215
876,240,4515
878,1277,4092
879,3198,4515
880,206,4515
