A_id,B_id
2525,4732
1837,3656
2872,4515
2040,2038
734,1849
1528,4515
3067,4515
455,4515
2724,4515
518,4515
1780,4985
3619,1412
1990,4515
621,4515
1977,3352
742,4515
2638,4515
4577,4515
1103,3557
4068,4515
3537,4515
1835,4736
1208,2770
1845,4851
1513,4515
3047,4515
3990,4515
3362,4515
1375,4515
1661,4515
503,4515
3624,4515
1199,4515
3191,4515
3764,1796
610,4515
608,2376
2099,3665
1623,4515
2373,4515
4260,4515
1435,4515
157,113
962,4515
2324,2702
2457,4515
1745,4515
2906,278
1464,4515
2668,4378
2429,4515
1474,146
1476,3541
2256,4515
1019,1845
1519,4423
1519,1279
4547,4515
1427,4515
550,4515
1172,4515
891,4515
3820,4515
1728,4445
1691,4515
4118,4515
3388,1819
2086,4515
1354,4674
3679,4515
3948,4515
3021,4515
2051,4092
1992,4417
4093,4515
2479,4515
176,4515
821,4515
1963,4515
3227,745
2559,4515
685,495
1402,4515
1525,4515
1886,4010
4605,4515
785,4515
2694,4515
3647,4515
1355,4515
100,4515
3699,1136
3903,1779
641,4515
2463,4515
3555,4515
2460,4515
1214,4646
1650,3914
1723,4515
3935,4515
1978,4515
2201,4515
1394,5072
3779,3924
1418,4515
2507,4215
2439,4515
193,4515
1108,1000
1148,3541
2561,4515
2201,2298
2048,4515
2425,1049
4064,2602
3586,1754
4032,2974
4444,4515
2936,4551
3605,178
262,4286
478,2516
4702,4515
2929,4515
4232,4515
2161,4515
2427,4515
1394,2147
3649,4515
1911,4515
912,982
4119,4515
550,2375
1667,2386
3071,4515
4292,4515
3601,142
4386,4515
2572,4515
2351,4515
2303,4515
2163,4515
1400,3541
845,4515
328,4515
3607,4515
42,4515
2005,3720
3842,2374
4063,1741
4028,4515
3005,4515
3281,4515
3729,4515
2797,4944
4244,4515
1566,4515
1195,4515
4676,4515
2314,2425
225,4515
1345,3587
4190,4515
1894,215
3544,4515
2260,4802
1354,3541
2,3266
1400,3656
1018,4043
1971,4128
4580,4515
1268,4515
2699,4515
4256,4515
3939,4515
3103,4515
1522,4515
1560,4386
4369,4515
2161,1379
2169,4515
1304,4515
1802,4515
1544,4515
1208,4515
822,4515
583,2107
1254,4515
3372,4515
3326,4515
3795,4515
730,4608
1156,4515
1912,4867
1927,4515
1832,2013
1374,4515
1474,4515
1214,3865
79,4515
2368,4515
2260,3656
660,4515
4086,4515
1244,4515
1237,368
4727,4515
3817,1338
4016,4515
4053,4515
1732,4515
