,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
795,Pamela Nadell ,Hardcover,$18.87,9780393651232,$28.95,336.0,6.4 x 1.2 x 9.6 inches,03/05/19,W. W. Norton & Company; 1 edition,America's Jewish Women: A History from Colonial Times to Today
796,Michael Eric Dyson ,Hardcover,$13.73,9781250199416,$24.99,304.0,5.3 x 1.1 x 7.8 inches,06/05/18,St. Martin's Press; First Edition edition,"What Truth Sounds Like: Robert F. Kennedy, James Baldwin, and Our Unfinished Conversation About Race in America"
797,Muata Ashby ,Paperback,$23.16,9781884564741,$27.95,312.0,8.1 x 0.7 x 10.5 inches,09/18/08,Sema Institute,The Kemetic Tree of Life Ancient Egyptian Metaphysics and Cosmology for Higher Consciousness
798,Cornelius C. Bond ,Hardcover,$19.46,9781119531265,$29.95,272.0,6 x 1.1 x 9.1 inches,03/19/19,Wiley; 1 edition,"T. Rowe Price: The Man, The Company, and The Investment Philosophy"
799,Paul Ortiz ,Paperback,$11.00,9780807005934,$16.00,296.0,6 x 0.8 x 9 inches,12/11/18,Beacon Press; Reprint edition,An African American and Latinx History of the United States (ReVisioning American History)
800,Daniel Yergin ,Paperback,$12.46,9781439110126,$22.00,928.0,6.1 x 1.7 x 9.2 inches,12/23/08,Free Press; Reissue edition,"The Prize: The Epic Quest for Oil, Money & Power"
801,Rodney Howard-Browne FL and Paul L. Williams FL ,Hardcover,$18.32,9781640070974,$26.95,496.0,6.1 x 1.5 x 9 inches,05/22/18,River Publishing,The Killing of Uncle Sam: The Demise of the United States of America
802,James Holland ,Hardcover,$22.48,9780802129420,$35.00,496.0,6 x 9 inches,06/04/19,Atlantic Monthly Press,Normandy '44: D-Day and the Epic 77-Day Battle for France
803,Sudhir Venkatesh ,Paperback,$11.99,9780143114932,$18.00,320.0,5.5 x 0.7 x 8.4 inches,12/30/08,Penguin Books; Reprint edition,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets
804,Jamie Glazov ,Hardcover,$17.10,9781642930078,$26.00,240.0,5.5 x 1.1 x 8.2 inches,12/18/18,Post Hill Press,"Jihadist Psychopath: How He Is Charming, Seducing, and Devouring Us"
805,"M. Blanchet, Gray Campbell, et al. ",Hardcover,$19.86,9781770500372,$24.95,272.0,5.8 x 0.8 x 8.8 inches,04/11/11,Whitecap Books; 50th Anniversary edition,The Curve of Time
806,Amy Chua ,Hardcover,$19.04,9780399562853,$28.00,304.0,6.3 x 1 x 9.3 inches,02/20/18,Penguin Press; 1st Edition edition,Political Tribes: Group Instinct and the Fate of Nations
807,John Buchanan ,Hardcover,$26.95,9780813942247,$29.95,408.0,6.5 x 1 x 9.5 inches,03/26/19,University of Virginia Press,The Road to Charleston: Nathanael Greene and the American Revolution
808,William W. Freehling ,Hardcover,$24.53,9780813941561,$29.95,384.0,6.5 x 1.3 x 9.3 inches,09/25/18,University of Virginia Press,Becoming Lincoln
809,David McCullough ,Hardcover,$13.50,9781501174216,$25.00,192.0,5.5 x 0.7 x 8.2 inches,04/18/17,Simon & Schuster; 1st edition,The American Spirit: Who We Are and What We Stand For
810,DK Travel ,Paperback,$17.68,9781465460295,$26.00,472.0,5.1 x 1 x 8.8 inches,07/18/17,DK Eyewitness Travel; Revised edition,DK Eyewitness Travel Guide The Netherlands
811,"Miklos Nyiszli, Tibere Kremer, et al. ",Paperback,$7.52,9781611450118,$14.95,240.0,5.5 x 1.2 x 8.2 inches,04/01/11,Arcade; 3.2.2011 edition,Auschwitz: A Doctor's Eyewitness Account
812,Timothy Ballard ,Hardcover,$18.64,9781629724843,$26.99,256.0,6.1 x 1.1 x 9.4 inches,09/04/18,Shadow Mountain,Slave Stealers: True Accounts of Slave Rescues-Then and Now
813,John Ortberg ,Paperback,$9.98,9780310340492,$16.99,224.0,5.5 x 0.6 x 8.5 inches,11/04/14,Zondervan; Reprint edition,Who Is This Man?: The Unpredictable Impact of the Inescapable Jesus
814,Rebecca Traister ,Paperback,$10.02,9781476716572,$17.00,368.0,5.5 x 0.9 x 8.4 inches,10/11/16,Simon & Schuster; Reprint edition,All the Single Ladies: Unmarried Women and the Rise of an Independent Nation
815,"Bruce M. Beehler , Middleton Evans, et al. ",Hardcover,$40.92,9781421427331,$49.95,480.0,9 x 1.3 x 11 inches,03/26/19,Johns Hopkins University Press,"Birds of Maryland, Delaware, and the District of Columbia"
816,Edmund de Waal ,Paperback,$9.97,9780312569372,$18.00,354.0,5.5 x 1 x 8.3 inches,08/02/11,Picador; First edition,The Hare with Amber Eyes: A Hidden Inheritance
817,Ryan Cole ,Hardcover,$19.49,9781621576976,$29.99,426.0,6 x 1.3 x 9 inches,01/15/19,Regnery History,Light-Horse Harry Lee: The Rise and Fall of a Revolutionary Hero - The Tragic Life of Robert E. Lee's Father
818,Nathaniel Philbrick ,Paperback,$10.95,9780143111979,$16.00,463.0,5.4 x 1 x 8 inches,04/24/07,Penguin Books,"Mayflower: A Story of Courage, Community, and War"
819,Peter Duffy ,Hardcover,$17.94,9781541762312,$28.00,288.0,6.2 x 1 x 9.6 inches,03/19/19,PublicAffairs,The Agitator: William Bailey and the First American Uprising against Nazism
820,Annie Jacobsen ,Paperback,$9.89,9780316221030,$18.00,624.0,5.5 x 1 x 8.2 inches,01/20/15,Back Bay Books; Reprint edition,Operation Paperclip: The Secret Intelligence Program that Brought Nazi Scientists to America
821,Robert Macfarlane ,Paperback,$12.23,9780241967874,$18.00,448.0,5.1 x 1.1 x 7.8 inches,08/02/16,Penguin Books; Reprint edition,Landmarks (Landscapes)
822,Nathaniel Philbrick ,Paperback,$11.06,9780141001821,$17.00,302.0,5.3 x 0.8 x 8 inches,05/01/01,Penguin Books; Reissue edition,In the Heart of the Sea: The Tragedy of the Whaleship Essex
823,Michael J. Mazarr ,Hardcover,$19.49,9781541768369,$30.00,528.0,6.4 x 1.6 x 9.6 inches,03/19/19,PublicAffairs,"Leap of Faith: Hubris, Negligence, and America's Greatest Foreign Policy Tragedy"
824,David Hoffman ,Paperback,$13.73,9780307387844,$16.95,608.0,5.2 x 1.2 x 8 inches,08/03/10,Anchor; 1 edition,The Dead Hand: The Untold Story of the Cold War Arms Race and Its Dangerous Legacy
825,Donald Kladstrup and Petie Kladstrup ,Paperback,$12.75,9780767904483,$17.00,304.0,5.5 x 0.6 x 8.2 inches,04/30/02,Broadway Books; 3/31/02 edition,"Wine and War: The French, the Nazis, and the Battle for France's Greatest Treasure"
826,Imani Perry ,Hardcover,$17.67,9780807064498,$26.95,256.0,6.3 x 0.9 x 9.3 inches,09/18/18,Beacon Press,Looking for Lorraine: The Radiant and Radical Life of Lorraine Hansberry
827,Ralph Friedman and Patrick Picciarelli ,Paperback,$12.12,9781250190437,$17.99,272.0,5.2 x 0.8 x 8 inches,10/30/18,St. Martin's Griffin; Reprint edition,Street Warrior: The True Story of the NYPD's Most Decorated Detective and the Era That Created Him
828,Colin Woodard ,Paperback,$7.16,9780156034623,$16.95,400.0,5.3 x 0.8 x 8 inches,06/30/08,Mariner Books; First edition,The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down
829,Jonathan Gray ,Paperback,$20.85,9781479601684,$21.95,290.0,7.5 x 0.6 x 9.2 inches,09/08/14,"TEACH Services, Inc.; 2 edition",Dead Men's Secrets
830,Carol Strickland ,Paperback,$20.39,9781449482138,$29.99,232.0,8.8 x 0.5 x 10.5 inches,01/09/18,Andrews McMeel Publishing; Revised edition,"The Annotated Mona Lisa, Third Edition: A Crash Course in Art History from Prehistoric to the Present (Annotated Series)"
831,Scott Hahn ,Hardcover,$19.18,9780385519496,$24.00,288.0,5.8 x 1.1 x 8.5 inches,11/03/09,Image,Signs of Life: 40 Catholic Customs and Their Biblical Roots
832,DK Travel ,Paperback,$17.71,9781465468307,$30.00,584.0,5.1 x 1.2 x 8.8 inches,04/17/18,DK Eyewitness Travel; Revised edition,DK Eyewitness Travel Guide Germany
833,Kacie Berghoef and Melanie Bell ,Paperback,$12.99,9781939754073,$15.99,178.0,6 x 0.5 x 9 inches,02/28/17,Althea Press,The Modern Enneagram: Discover Who You Are and Who You Can Be
834,Doug Bock Clark ,Hardcover,$17.83,9780316390620,$30.00,368.0,6.2 x 1.2 x 9.5 inches,01/08/19,"Little, Brown and Company",The Last Whalers: Three Years in the Far Pacific with a Courageous Tribe and a Vanishing Way of Life
835,"Leslie Umberger, Kerry James Marshall, et al. ",Hardcover,$48.02,9780691182674,$65.00,448.0,9 x 1.8 x 12 inches,10/02/18,Princeton University Press,Between Worlds: The Art of Bill Traylor
836,Lydia Kang and Nate Pedersen ,Hardcover,$15.60,9780761189817,$22.95,352.0,6 x 1 x 8 inches,10/17/17,Workman Publishing Company; 1 edition,Quackery: A Brief History of the Worst Ways to Cure Everything
837,Antony Beevor ,Paperback,$16.76,9780140284584,$21.00,528.0,5.5 x 1.1 x 8.4 inches,05/01/99,Penguin Books; 1st edition,Stalingrad: The Fateful Siege: 1942-1943
838,The Princeton Review ,Paperback,$8.60,9781524757670,$11.99,304.0,5.6 x 0.7 x 8.4 inches,12/12/17,Princeton Review,ASAP U.S. History: A Quick-Review Study Guide for the AP Exam (College Test Preparation)
839,"Dana Canedy, Darcy Eveleigh, et al. ",Hardcover,$20.99,9780316552967,$29.99,304.0,8.2 x 1 x 10.4 inches,10/17/17,Black Dog & Leventhal; 1st Edition edition,Unseen: Unpublished Black History from the New York Times Photo Archives
840,Paul Mendes-Flohr ,Hardcover,$23.40,9780300153040,$26.00,440.0,5.8 x 1.1 x 8.2 inches,03/26/19,Yale University Press,Martin Buber: A Life of Faith and Dissent (Jewish Lives)
841,Keeanga-Yamahtta Taylor ,Paperback,$10.84,9781608468553,$15.95,200.0,5 x 0.5 x 7.5 inches,12/05/17,Haymarket Books,How We Get Free: Black Feminism and the Combahee River Collective
842,Jerrold M. Packard ,Paperback,$14.98,9780312244965,$18.99,370.0,5.8 x 1.1 x 9.3 inches,12/23/99,St. Martin's Griffin; 1st edition,Victoria's Daughters
843,DK Travel ,Paperback,$16.37,9781465468246,$25.00,440.0,5.2 x 0.8 x 8.8 inches,04/17/18,DK Eyewitness Travel; Revised edition,DK Eyewitness Travel Guide Canada
844,Shelley Neese and Jim Barfield ,Paperback,$14.55,9781683509158,$21.95,348.0,6.1 x 0.8 x 9.2 inches,10/30/18,Morgan James Publishing,The Copper Scroll Project: An Ancient Secret Fuels the Battle for the Temple Mount
845,Roy Schoeman and Roy H. Schoeman ,Paperback,$16.60,9780898709759,$19.95,350.0,5.2 x 1 x 7.8 inches,01/01/04,Ignatius Press; First edition,Salvation Is from the Jews: The Role of Judaism in Salvation History from Abraham to the Second Coming
846,William Manchester and Paul Reid ,Hardcover,$72.99,9780316227780,$150.00,3008.0,6.5 x 6.2 x 10 inches,11/20/12,"Little, Brown and Company; Box edition","The Last Lion Box Set: Winston Spencer Churchill, 1874 - 1965"
847,Dan Jones ,Paperback,$12.80,9780143124924,$19.00,560.0,5.5 x 1.2 x 8.4 inches,03/25/14,Penguin Books; Revised edition,The Plantagenets: The Warrior Kings and Queens Who Made England
848,Vaclav Smil ,Paperback,$16.45,9780262536165,$19.95,562.0,6 x 1.4 x 9 inches,11/13/18,MIT Press; Reprint edition,Energy and Civilization: A History (The MIT Press)
849,Norman Eisen ,Hardcover,$19.04,9780451495785,$28.00,416.0,6.4 x 1.4 x 9.6 inches,09/04/18,"Crown; First Edition, First Printing edition",The Last Palace: Europe's Turbulent Century in Five Lives and One Legendary House
850,Chris Whipple ,Hardcover,$11.42,9780804138246,$28.00,384.0,6.5 x 1.3 x 9.5 inches,04/04/17,Crown; 1st edition,The Gatekeepers: How the White House Chiefs of Staff Define Every Presidency
851,Bill O'Reilly and Martin Dugard ,Hardcover,$16.00,9781627792417,$30.00,320.0,6.4 x 1.2 x 9.5 inches,09/22/15,Henry Holt and Co.; First Edition edition,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)
852,Primo Levi ,Paperback,$12.22,9780684826806,$16.00,187.0,5.5 x 0.5 x 8.2 inches,09/01/96,Simon & Schuster; Reprint edition,Survival In Auschwitz
853,William J. Birnes and Philip Corso ,Paperback,$12.71,9781501172007,$16.99,384.0,6 x 1.2 x 9 inches,06/06/17,Gallery Books; Reprint edition,The Day After Roswell
854,Karen Armstrong ,Paperback,$10.16,9780345384560,$18.00,496.0,5.5 x 1.1 x 8.2 inches,08/09/94,Ballantine Books,"A History of God: The 4,000-Year Quest of Judaism, Christianity and Islam"
855,Christopher Hitchens ,Paperback,$14.70,9780465030330,$15.99,160.0,5 x 0.5 x 8 inches,04/13/05,Basic Books; Later ptg edition,Letters to a Young Contrarian (Art of Mentoring (Paperback))
856,Newt Gingrich ,Hardcover,$11.42,9781546077060,$27.00,352.0,6.4 x 1.2 x 9.4 inches,06/05/18,Center Street,Trump's America: The Truth about Our Nation's Great Comeback
857,Bill Bryson ,Paperback,$12.00,9780767919418,$17.00,544.0,5.2 x 1.1 x 8 inches,06/03/14,Anchor; Reprint edition,"One Summer: America, 1927"
858,Mark Owen and Kevin Maurer ,Paperback,$7.68,9780451468741,$17.00,336.0,6 x 0.7 x 9 inches,05/06/14,Dutton; Reprint edition,No Easy Day: The Firsthand Account of the Mission that Killed Osama Bin Laden
859,Thomas Piketty and Arthur Goldhammer ,Hardcover,$25.67,9780674430006,$39.95,704.0,6.5 x 1.8 x 9.2 inches,01/012014,Belknap Press: An Imprint of Harvard University Press,Capital in the Twenty First Century
860,David McCullough ,Hardcover,$12.40,9780684813639,$40.00,752.0,6.2 x 1.7 x 9.2 inches,05/22/01,Simon & Schuster; 1st edition,John Adams
861,Mark Pendergrast ,Paperback,$10.45,9780465018369,$24.99,480.0,6 x 1.2 x 9.2 inches,09/28/10,Basic Books; Revised edition,Uncommon Grounds: The History of Coffee and How It Transformed Our World
862,Deirdre Cooper Owens ,Paperback,$19.14,9780820354750,$26.95,182.0,5.9 x 0.6 x 8.9 inches,07/15/18,University of Georgia Press; Reprint edition,"Medical Bondage: Race, Gender, and the Origins of American Gynecology"
863,Bill Bryson ,Paperback,$10.94,9780767919395,$17.00,581.0,5.2 x 1.2 x 8 inches,10/04/11,Anchor; Reprint edition,At Home: A Short History of Private Life
864,"Gaillard R. Peck Jr., Dan Druen, et al. ",Hardcover,$24.52,9781472829375,$32.00,304.0,6.4 x 1.4 x 9.4 inches,03/05/19,Osprey Publishing,Sherman Lead: Flying the F-4D Phantom II in Vietnam
865,Michael A. Cohen and Micah Zenko ,Hardcover,$17.54,9780300222555,$27.50,272.0,5.5 x 0.9 x 8.2 inches,03/26/19,Yale University Press,Clear and Present Safety: The World Has Never Been Better and Why That Matters to Americans
866,Christopher McDougall ,Paperback,$13.93,9780307742223,$16.95,352.0,5.2 x 0.8 x 8 inches,04/05/16,Vintage; Reprint edition,Natural Born Heroes: Mastering the Lost Secrets of Strength and Endurance
867,"Josef Pieper , Richard Winston, et al. ",Paperback,$23.37,9780268001032,$25.00,248.0,5.4 x 0.6 x 7.9 inches,03/31/66,University of Notre Dame Press; 1 edition,The Four Cardinal Virtues
868,Richard Rhodes ,Hardcover,$16.49,9781501105357,$30.00,480.0,6 x 1.4 x 9 inches,05/29/18,Simon & Schuster,Energy: A Human History
869,S. C. Gwynne ,Paperback,$6.60,9781451673296,$20.00,688.0,5.5 x 1.7 x 8.4 inches,10/06/15,Scribner; Reprint edition,"Rebel Yell: The Violence, Passion, and Redemption of Stonewall Jackson"
870,Linda Reeder ,Hardcover,$85.50,9781350005181,$90.00,352.0,6.1 x 9.2 inches,12/12/19,Bloomsbury Academic,"Italy in the Modern World: Society, Culture and Identity"
871,Dave Barry ,Paperback,$10.87,9781101982617,$16.00,,5.4 x 0.5 x 8.2 inches,09/05/17,G.P. Putnam's Sons; Reprint edition,Best. State. Ever.: A Florida Man Defends His Homeland
872,Stephen E. Ambrose ,Paperback,$15.13,9780743203173,$19.00,432.0,6.1 x 1 x 9.2 inches,11/06/01,Simon & Schuster; 1st edition,Nothing Like It In the World: The Men Who Built the Transcontinental Railroad 1863-1869
873,"David F. Walker , Damon Smyth, et al. ",Paperback,$13.38,9780399581441,$19.99,192.0,7.1 x 0.6 x 10 inches,01/08/19,Ten Speed Press,The Life of Frederick Douglass: A Graphic Narrative of a Slave's Journey from Bondage to Freedom
874,Quinn Javers ,Hardcover,$132.29,9780367140809,$149.95,172.0,6.1 x 9.2 inches,03/18/19,Routledge; 1 edition,"Conflict, Community, and the State in Late Imperial Sichuan: Making Local Justice (Routledge Studies in the Modern History of Asia)"
875,T.J. Stiles ,Paperback,$9.80,9781400031740,$21.00,736.0,6.1 x 0.2 x 9.2 inches,04/20/10,Vintage; Reprint edition,The First Tycoon: The Epic Life of Cornelius Vanderbilt
876,Lee Kuan Yew ,Hardcover,$20.36,9780060197766,$35.00,752.0,6.1 x 2.2 x 9.2 inches,10/03/00,Harper; 1st edition,From Third World to First: The Singapore Story - 1965-2000
877,Doris Kearns Goodwin ,Paperback,$11.86,9780684804484,$21.00,768.0,6.1 x 1.6 x 9.2 inches,10/01/95,Simon & Schuster; 1st edition,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II
878,Gordon Thomas ,Paperback,$13.72,9781250056405,$24.99,832.0,6.1 x 1.4 x 9.2 inches,03/17/15,"St. Martin's Griffin; Seventh Edition, Revised edition",Gideon's Spies: The Secret History of the Mossad
879,James W. Loewen ,Paperback,$6.85,9780743296281,$17.99,464.0,6.1 x 1.2 x 9.2 inches,10/16/07,Atria Books; Revised edition,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong
880,"Friedrich Nietzsche , Walter Kaufmann , et al. ",Paperback,$15.09,9780679783398,$20.00,896.0,5.2 x 1.4 x 8 inches,11/28/00,Modern Library; Modern Library edition,Basic Writings of Nietzsche (Modern Library Classics)
881,Benjamin Carter Hett ,Hardcover,$15.94,9781250162502,$30.00,304.0,6.4 x 1.2 x 9.6 inches,04/03/18,Henry Holt and Co.,The Death of Democracy: Hitler's Rise to Power and the Downfall of the Weimar Republic
882,John Ehle ,Paperback,$12.97,9780385239547,$17.95,424.0,5.2 x 1 x 8 inches,01/011988,Anchor Books Doubleday; Reprint edition,Trail of Tears: The Rise and Fall of the Cherokee Nation
883,Simon Jenkins ,Hardcover,$20.09,9781541788558,$35.00,400.0,6.4 x 1.8 x 9.6 inches,03/05/19,PublicAffairs,A Short History of Europe: From Pericles to Putin
884,DK Travel ,Paperback,$17.00,9781465457295,$25.00,272.0,5.1 x 0.7 x 8.8 inches,03/21/17,DK Eyewitness Travel; Revised edition,DK Eyewitness Travel Guide Budapest
885,Adolf Hilter ,Paperback,$17.99,9781542961455,$19.99,528.0,8.5 x 1.2 x 11 inches,02/07/17,CreateSpace Independent Publishing Platform,"Mein Kampf: The Original, accurate, and complete English translation"
886,Kris Berwouts ,Hardcover,$86.52,9781783603701,$95.00,256.0,5 x 0.9 x 7.8 inches,07/15/17,Zed Books; 1 edition,Congo's Violent Peace: Conflict and Struggle Since the Great African War (African Arguments)
887,Anna Clark ,Hardcover,$16.44,9781250125149,$30.00,320.0,6.4 x 1.1 x 9.6 inches,07/10/18,Metropolitan Books,The Poisoned City: Flint's Water and the American Urban Tragedy
888,The Princeton Review ,Paperback,$8.60,9781524757687,$11.99,288.0,5.5 x 0.7 x 8.3 inches,12/12/17,Princeton Review,ASAP World History: A Quick-Review Study Guide for the AP Exam (College Test Preparation)
889,DK Travel ,Paperback,$16.37,9781465467898,$25.00,380.0,5.2 x 0.8 x 8.8 inches,03/20/18,DK Eyewitness Travel; Updated edition,DK Eyewitness Travel Guide Austria
890,William H. McRaven ,Hardcover,$19.49,9781538729748,$30.00,352.0,,05/21/19,Grand Central Publishing,Sea Stories: My Life in Special Operations
891,G. J. Meyer ,Paperback,$18.15,9780553382402,$22.00,816.0,5.2 x 1.7 x 8.2 inches,05/29/07,Bantam; Reprint edition,"A World Undone: The Story of the Great War, 1914 to 1918"
892,J Philip Newell ,Paperback,$10.31,9780809137596,$11.95,112.0,5.4 x 0.3 x 8.1 inches,01/01/97,Paulist Press,Listening for the Heartbeat of God: A Celtic Spirituality
893,Stephen Kinzer ,Paperback,$18.79,9780805082401,$25.00,416.0,5.6 x 0.8 x 8.3 inches,02/06/07,Times Books; First edition,Overthrow: America's Century of Regime Change from Hawaii to Iraq
894,Adam Zamoyski ,Hardcover,$25.47,9780465055937,$40.00,784.0,6.5 x 2.2 x 9.8 inches,10/16/18,Basic Books; 1st Edition edition,Napoleon: A Life
895,Carol Kelly-Gangi ,Hardcover,$7.48,9781454928355,$9.95,152.0,5 x 0.8 x 7.4 inches,08/01/17,Sterling,Barack Obama: Quotable Wisdom
896,"Huey P. Newton , Ho Che Anderson, et al. ",Paperback,$14.81,9780143105329,$18.00,384.0,5.6 x 1 x 8.4 inches,09/29/09,Penguin Classics; Reprint edition,Revolutionary Suicide: (Penguin Classics Deluxe Edition)
897,Ari Shavit ,Paperback,$14.69,9780385521710,$20.00,512.0,5.5 x 1.1 x 8.2 inches,02/03/15,Spiegel & Grau; Reissue edition,My Promised Land: The Triumph and Tragedy of Israel
898,Joan Druett ,Paperback,$21.45,9781565124080,$24.95,272.0,5.6 x 1.1 x 8.8 inches,05/17/07,Algonquin Books,Island of the Lost: Shipwrecked at the Edge of the World
899,Candice Millard ,Paperback,$11.55,9780307948786,$17.00,416.0,5.2 x 0.8 x 8 inches,05/30/17,Anchor; Reprint edition,"Hero of the Empire: The Boer War, a Daring Escape, and the Making of Winston Churchill"
900,David McCullough ,Paperback,$14.24,9781416571773,$20.00,576.0,6 x 1.4 x 9 inches,05/15/12,Simon & Schuster; Reprint edition,The Greater Journey: Americans in Paris
901,"Rob ""Gronk"" Gronkowski and Jason Rosenhaus ",Hardcover,$10.86,9781476754802,$26.00,224.0,6 x 0.9 x 9 inches,07/14/15,Gallery/Jeter Publishing; First Edition edition,It's Good to Be Gronk
902,DK ,Hardcover,$26.74,9781465453419,$40.00,320.0,10.2 x 1.1 x 12.2 inches,10/11/16,DK; Illustrated edition,Medicine: The Definitive Illustrated History
903,Andrew F. Krepinevich and Barry D. Watts ,Hardcover,$26.99,9780465030002,$29.99,336.0,6.4 x 1.1 x 9.5 inches,01/06/15,Basic Books; 1 edition,The Last Warrior: Andrew Marshall and the Shaping of Modern American Defense Strategy
904,Sarah Milov ,Hardcover,$33.25,9780674241213,$35.00,352.0,6.1 x 9.2 inches,10/02/19,Harvard University Press,The Cigarette: A Political History
905,"Walter J. Ciszek , Daniel L. Flaherty, et al. ",Paperback,$9.89,9780062641625,$17.99,400.0,5.3 x 0.9 x 8 inches,06/13/17,HarperOne,With God in Russia: The Inspiring Classic Account of a Catholic Priest's Twenty-three Years in Soviet Prisons and Labor Camps
906,T.R. Fehrenbach ,Paperback,$20.95,9780306809422,$26.00,792.0,6 x 2 x 9 inches,04/07/00,Da Capo Press; Updated ed. edition,Lone Star: A History Of Texas And The Texans
907,Sarah Bakewell ,Paperback,$12.20,9781590518892,$17.95,464.0,5.6 x 1.2 x 8.8 inches,08/08/17,Other Press,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails with Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Maurice Merleau-Ponty and Others"
908,Michael Bishop and Richard Walter ,Paperback,$12.23,9781633883451,$18.00,330.0,6 x 0.8 x 8.9 inches,09/05/17,Prometheus Books; 1st Edition edition,"A Murder in Music City: Corruption, Scandal, and the Framing of an Innocent Man"
909,Lars Celander ,Hardcover,$24.29,9781612006215,$34.95,296.0,6.3 x 1.1 x 9.1 inches,08/03/18,Casemate,How Carriers Fought: Carrier Operations in WWII
910,Philip Parker ,Hardcover,$16.47,,$30.00,,,01/01/1979,,World History: From the Ancient World to the Information Age
911,Etty Hillesum and Eva Hoffman ,Paperback,$12.76,9780805050875,$23.00,416.0,5.5 x 1.1 x 8.3 inches,11/15/96,Picador; unknown edition,"Etty Hillesum: An Interrupted Life the Diaries, 1941-1943 and Letters from Westerbork"
912,Larry Williams and Tom Rinaldi ,Paperback,$15.45,9781467143905,$21.99,176.0,6 x 0.3 x 9 inches,02/18/19,The History Press,Dabo's Dynasty: Clemson's Rise to College Football Supremacy (Sports)
913,Anne de Courcy ,Hardcover,$16.69,9781250164599,$27.99,320.0,6.5 x 1.1 x 9.3 inches,08/07/18,St. Martin's Press,The Husband Hunters: American Heiresses Who Married into the British Aristocracy
914,"John Sides , Michael Tesler, et al. ",Hardcover,$22.26,9780691174198,$29.95,352.0,5.8 x 1.2 x 9.5 inches,10/30/18,Princeton University Press,Identity Crisis: The 2016 Presidential Campaign and the Battle for the Meaning of America
915,Michael Grunwald ,Paperback,$10.44,9780743251075,$18.00,480.0,5.5 x 1.2 x 8.4 inches,03/27/07,Simon & Schuster; Reprint edition,"The Swamp: The Everglades, Florida, and the Politics of Paradise"
916,"Elie Wiesel , Marion Wiesel, et al. ",Hardcover,$12.08,9780374221997,$22.00,176.0,5.7 x 0.8 x 8.4 inches,09/12/17,Hill and Wang; Commemorative edition,Night: A Memoir
917,Bobby Hall,Paperback,$10.79,9781982127138,$17.99,288.0,8 x 5 x 8 inches,03/26/19,Simon & Schuster,Supermarket
918,Alex Michaelides,Hardcover,$16.19,9781250301697,$26.99,336.0,6.4 x 1.2 x 9.6 inches,02/05/19,Celadon Books,The Silent Patient
919,Harlan Coben,Hardcover,$17.40,9781538748466,$29.00,384.0,6.2 x 1.2 x 9.4 inches,03/19/19,Grand Central Publishing,Run Away
920,C. J. Box,Hardcover,$14.98,9780525538196,$27.00,384.0,6.2 x 1.2 x 9.3 inches,03/12/19,G.P. Putnam's Sons,Wolf Pack (A Joe Pickett Novel)
921,Harper Lee,Paperback,$8.99,9780060935467,$14.99,336.0,7.9 x 5.3 x 0.9 inches,01/012002,Harper Perennial Modern Classics,To Kill a Mockingbird
922,Louise Penny,Hardcover,$26.09,9781250066213,$28.99,400.0,6.1 x 9.2 inches,08/27/19,Minotaur Books,A Better Man: A Chief Inspector Gamache Novel
923,Greg Iles,Hardcover,$18.89,9780062824615,$28.99,608.0,6 x 1.5 x 9 inches,03/05/19,William Morrow; 1st edition,Cemetery Road: A Novel
924,Lisa Jewell,Paperback,$8.33,9781501154652,$16.00,384.0,5.3 x 0.7 x 8.2 inches,11/06/18,Atria Books; Reprint edition,Then She Was Gone: A Novel
925,Lee Child,Hardcover,$26.09,9780399593543,$28.99,400.0,6 x 1 x 9 inches,10/29/19,Delacorte Press,Blue Moon: A Jack Reacher Novel
926,A. J Finn,Paperback,$11.59,9780062678423,$16.99,464.0,5.3 x 1 x 8 inches,03/05/19,William Morrow Paperbacks; Reprint edition,The Woman in the Window: A Novel
927,Stephen King,Hardcover,$18.00,9781982110567,$30.00,576.0,6.1 x 9.2 inches,09/10/19,Scribner,The Institute: A Novel
928,Joel C. Rosenberg,Hardcover,$16.79,9781496406187,$27.99,448.0,6.1 x 1.6 x 9.1 inches,03/12/19,"Tyndale House Publishers, Inc.",The Persian Gamble
929,Jacqueline Winspear ,Hardcover,$18.29,9780062436665,$27.99,384.0,6 x 1.2 x 9 inches,03/26/19,Harper,The American Agent: A Maisie Dobbs Novel
930,Liane Moriarty ,Hardcover,$17.98,9781250069825,$28.99,464.0,6.5 x 1.4 x 9.4 inches,11/06/18,Flatiron Books; First Edition edition,Nine Perfect Strangers
931,Kate Quinn ,Paperback,$10.50,9780062654199,$16.99,560.0,5.3 x 0.9 x 8 inches,06/06/17,William Morrow Paperbacks; First Edition edition,The Alice Network: A Novel
932,Mark Z. Danielewski ,Paperback,$15.19,9780375703768,$22.00,709.0,7 x 1.3 x 9.1 inches,03/07/00,Pantheon; 2nd edition,House of Leaves
