,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
3890,Mary Laura Philpott ,Hardcover,$17.10,9781982102807,$26.00,288.0,5.5 x 1 x 8.4 inches,04/02/19,Atria Books,I Miss You When I Blink: Essays
3891,Maggie Nelson ,Paperback,$6.02,9781555977351,$15.00,160.0,5.7 x 0.5 x 8.2 inches,01/26/16,Graywolf Press; Reprint edition,The Argonauts
3892,Neil Strauss ,Imitation Leather,$21.67,9780060554736,$39.99,,6 x 1.4 x 9 inches,09/06/05,Harper Collins,The Game: Penetrating the Secret Society of Pickup Artists
3893,John Prine ,Paperback,$27.83,9780692740163,$34.99,179.0,8.9 x 0.6 x 11.9 inches,06/02/17,Oh Boy Records; 1st edition,John Prine Beyond Words
3894,Nadia Bolz-Weber ,Paperback,$12.08,9781601427564,$15.00,224.0,5.2 x 0.5 x 8 inches,09/27/16,Convergent Books; Reprint edition,Accidental Saints: Finding God in All the Wrong People
3895,Mitch Albom ,Hardcover,$21.59,9780062952394,$23.99,208.0,5.5 x 0.8 x 8.2 inches,11/05/19,Harper,"Chika: A Little Girl, an Earthquake, and the Making of a Family"
3896,Kelly Corrigan ,Hardcover,$15.55,9780399588372,$26.00,240.0,5.3 x 1 x 7.8 inches,01/09/18,Random House,Tell Me More: Stories About the 12 Hardest Things I'm Learning to Say
3897,Tracy Kidder ,Paperback,$8.75,9780812980554,$20.00,332.0,5.6 x 0.9 x 8.2 inches,08/25/09,Random House Trade Paperbacks; Reprint edition,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World (Random House Reader's Circle)"
3898,LaTonya Yvette ,Hardcover,$16.50,9781419732942,$24.99,192.0,7 x 0.8 x 9 inches,04/02/19,Abrams Image,Woman of Color
3899,Carlos Fuentes ,Hardcover,$22.46,9780810959545,$24.95,296.0,6.4 x 1.1 x 9.6 inches,08/09/05,Abrams,The Diary of Frida Kahlo: An Intimate Self-Portrait
3900,Preet Bharara ,Audio CD,$28.99,9780525595762,$45.00,,5.1 x 1.1 x 5.9 inches,03/19/19,Random House Audio; Unabridged edition,"Doing Justice: A Prosecutor's Thoughts on Crime, Punishment, and the Rule of Law"
3901,Ginger Sprouse ,Hardcover,$22.49,9781400207886,$24.99,224.0,,06/04/19,Thomas Nelson,"Kinda Like Grace: A Homeless Man, a Broken Woman, and the Decision That Made Them Family"
3902,Andre Agassi ,Paperback,$11.91,9780307388407,$17.00,400.0,5.1 x 0.8 x 8 inches,08/10/10,Vintage; Reprint edition,Open: An Autobiography
3903,Kevin Hart and Neil Strauss ,Paperback,$7.19,9781501155574,$17.00,400.0,5.5 x 1 x 8.4 inches,05/08/18,Atria / 37 INK; Reprint edition,I Can't Make This Up: Life Lessons
3904,Joshua D Mezrich ,Hardcover,$11.99,9780062656209,$27.99,384.0,6 x 1.2 x 9 inches,01/15/19,Harper; 1 edition,When Death Becomes Life: Notes from a Transplant Surgeon
3905,Garrard Conley ,Paperback,$10.87,9780735213463,$16.00,352.0,5.5 x 0.9 x 8.2 inches,02/07/17,Riverhead Books; Reprint edition,"Boy Erased: A Memoir of Identity, Faith, and Family"
3906,Bianca Bosker ,Paperback,$11.30,9780143128090,$17.00,352.0,5.3 x 0.7 x 8 inches,03/28/17,Penguin Books,"Cork Dork: A Wine-Fueled Adventure Among the Obsessive Sommeliers, Big Bottle Hunters, and Rogue Scientists Who Taught Me to Live for Taste"
3907,Jonathan Van Ness ,Hardcover,$25.19,9780062906373,$27.99,304.0,6 x 1 x 9 inches,09/24/19,HarperOne,Over the Top: A Raw Journey to Self-Love
